attr_tract,HBO,HBShop,HBW,NHB,tothh,retl,manu,offi,gved,othr,totemp
53033023803,2722.368052646031,1782.2616345211377,29433.496351282884,2030.5110468816436,2953,477,0,8751,186,265,10038
53033023804,29243.98226777561,3641.9343813337628,77181.55476395384,36769.31945719388,4102,5057,95,29668,970,3147,38936
53033023900,785.6093328531185,0,0,352.85395730556263,2789,74,0,269,75,26,464
53033024000,88.00284215170245,24.217141628339526,7014.338138396881,1890.3964864446004,3365,0,0,3109,591,682,4584
53033024100,957.7829644492081,0,4072.1895468745497,2447.0224632842724,1705,0,29,466,242,77,843
53033024200,110.71412929015419,0,34.1470330995496,2376.0721520575476,1170,30,0,238,29,14,324
53033024300,5695.077846490889,72.6077347152868,7489.108899754893,5756.2426689677295,3880,429,0,2755,153,249,3736
53033024400,4152.385493434379,0,6203.238126746394,493.6881266058735,1337,0,0,964,150,96,1231
53033024500,9896.06319755579,501.081341038342,14342.156783140077,26379.444518458866,1715,0,0,487,306,30,829
53033024601,0,0,0,13.4711954537457,1630,0,0,187,74,10,279
53033024602,1953.1247420584184,493.43426824845,531.944100169918,594.5720500272375,1305,0,0,372,291,26,780
53033024701,0,0,39.640107868438214,532.3541968797502,1427,18,0,220,0,46,306
53033024702,985.80000002682,0,0,186.357092195376,2959,0,0,829,131,74,1075
53033024800,6307.531450863198,2299.692298582227,7334.704465649609,3137.7188117541455,2150,1587,0,10050,470,493,12997
53033024901,1757.031673488663,0,1171.354448992442,1757.031673488663,1837,0,0,313,109,15,449
53033024902,0,0,101.7610083089904,0,1349,0,0,48,102,24,182
53033025001,1489.9549219712121,0,555.5876482846976,1760.033951010258,1894,135,0,650,235,46,1089
53033025005,49.0656196652942,0,47.7500000023816,0,1948,85,0,954,110,58,1252
53033025006,3893.33333481288,0,0,0,2295,0,0,539,6,71,633
53033025101,2686.1274610384107,1093.800000029758,977.298382267292,498.527460978901,2112,172,0,411,191,31,811
53033025102,3181.455139997588,498.527460978901,0,1154.94465105184,2778,311,0,752,195,89,1404
53033025200,3381.582392941468,0,0,2248.585950753211,3263,58,0,234,461,102,858
53033025301,3274.7412381704944,3189.110689220747,26458.84988954642,29044.21302876881,3026,894,0,1908,122,789,6638
53033025302,5324.060860572719,1747.588180512937,23410.936088282455,16426.798695329442,2711,1294,0,4130,898,550,15641
53033025400,1482.9839348833284,125.5786951694575,3589.160581870061,2967.82816130233,3078,225,0,430,581,78,1329
53033025500,546.900000014877,0,0,546.900000014877,2026,68,0,425,0,28,526
53033025601,4133.56573344838,0,0,0,1998,91,0,422,634,85,1260
53033025701,1736.3673295284566,0,0,715.0821209206454,2893,0,0,255,11,156,528
53033025803,1093.800000029752,1093.800000029752,0,49.961711951884496,1761,0,0,132,58,33,235
53033025804,1673.462862877152,0,0,0,1128,0,0,89,380,25,509
53033025805,7635.628493347434,0,0,4920.6840214393,1928,0,0,279,154,59,539
53033025806,988.19789676048,0,0,2681.698948439745,1733,0,0,961,3606,78,4672
53033026001,181.9869626918834,0,0,2023.3812946714575,2089,0,0,286,346,70,716
53033026002,267.425000007277,33.0691545884673,12003.617532324759,18007.411902663865,3040,112,0,489,0,99,700
53033026100,1262.197785627094,0,304.48994922785863,631.098892813547,2830,101,0,503,142,113,859
53033026200,54835.689116024434,15396.601819051728,6094.808898463945,68272.75444841899,2247,8050,7019,20970,3051,8786,47875
53033026300,33015.63913541645,0,655.5887816085846,19.942682826152094,566,203,0,731,143,684,8382
53033026400,2105.252203913944,0,13.67696295446931,1719.8523687047184,2397,240,911,1049,1204,1697,5101
53033026500,44.665539094465494,0,233.61159608737,77.58833567400059,1521,180,67,421,195,150,1013
53033026600,759.5092114129324,564.976041742858,0,98.99171695602149,882,36,0,563,0,29,636
53033026700,2105.405344744468,0,0,0,1901,0,0,309,90,66,486
53033026801,1188.5328297522185,508.911108633658,0,1049.2446744621434,2125,173,0,356,122,0,690
53033026802,52.3751833656752,0,0,688.7240075918373,1723,0,0,250,482,27,802
53033027000,0,0,1822.07361753335,1822.07361753335,1160,12,0,76,60,40,192
53033027100,7694.90141944828,7694.90141944828,20.808095111160263,0,1272,40,0,761,118,49,992
53033027200,45.8199352467845,40.4569378105928,5415.3312055434435,89.1192590184432,841,375,468,4042,1113,2275,8272
53033027300,538.3508455206121,0,5.42583172417054,524.059733242629,1851,117,0,272,136,69,1208
53033027400,1089.944159727057,746.06573588803,3816.1487711961304,1158.6504508570201,1712,453,8,444,98,127,1129
53033027500,135.31665218931624,24.5203543930418,10.2844337965725,4.55898765148977,1765,189,4,910,146,91,1341
53033027600,0,0,0,14.8518344502582,1721,0,0,533,2,98,654
53033027701,10820.435684167915,282.0870393720107,22758.679264732844,55728.872514658964,2185,368,237,1068,383,208,2264
53033027702,425.200000011566,425.200000011566,0,446.2559523846146,2222,21,10,197,0,73,301
53033027900,19822.835726106547,6396.512239324073,637.357613030071,4092.4550803469747,3183,789,61,3834,716,415,5816
53033028000,2027.3642769204773,492.900000013408,9.38199609262155,3289.092877841257,1557,434,0,571,172,0,1199
53033028100,0,0,4340.0665819098895,0,829,15,0,859,123,134,1177
53033028200,1069.700000029104,0,0,527.5233826012918,1863,175,0,603,89,61,928
53033028300,1287.0215111521095,1019.5965111448324,1597.592394826867,267.425000007277,1925,373,1756,1791,12,2201,6133
53033028402,13716.542330251286,18.7127912226148,13218.649556619624,10076.094208727813,1774,584,0,3437,2656,8658,15454
53033028403,997.054921957802,0,1891.329433719433,3347.0273429363438,2290,0,0,2327,455,340,3121
53033028500,105.02826820792437,105.02826820792437,0,0,1631,107,112,241,104,845,1409
53033028600,2294.387345648088,492.900000013408,2.65000000013215,0,2719,177,0,582,212,44,1032
53033028801,8.39642738707066,0,37.910981639906595,169.5847725331496,730,198,122,1367,126,1970,3961
53033028802,0,0,465.1742288651535,502.5606537992151,2339,38,0,928,283,0,0
53033028901,9966.95107074888,0,2.3295087465567823,343.3134939925553,1604,155,18,1089,310,204,1777
53033028902,546.900000014877,572.2669047666296,0,0,2420,85,0,588,401,184,1257
53033029001,0,18.7403698479644,0,0,2002,0,0,541,4,75,642
53033029003,5448.8377104862275,0,905.9764298202084,322.24361539803414,1984,61,0,344,907,49,1369
53033029004,4773.35679025478,0,41.6314345436788,4814.98822479846,1314,620,75,472,65,136,1368
53033029102,0,0,21636.6535858942,0,1388,18,0,215,78,39,362
53033029203,17112.918734385043,9975.69949171458,0,698.3707412515026,1279,387,129,2130,708,287,3640
53033029204,328.6000000086754,0,0,0,2554,265,351,344,0,233,1193
53033029205,11871.31264520932,0,0,3457.191309712953,2129,71,0,309,267,242,1066
53033029206,54427.72892297779,7146.745200098123,8402.226611101063,6972.026557721167,1991,1966,13052,9302,950,21712,46982
53033029303,2865.1992765486775,3367.560600231188,0,1143.7617119816366,2950,328,0,1075,112,61,1577
53033029304,3514.747523759745,0,0,0,1904,40,0,54,128,64,305
53033029305,0,0,6.98098814450852,14.4500000000002,1332,0,0,220,76,18,325
53033029403,1965.562134049435,0,0,1965.562134049435,1933,0,0,210,91,24,420
53033029405,1629.097589088076,535.297589058324,0,535.297589058324,1767,0,0,69,126,11,211
53033029407,814.325000022152,0,157.181723172938,971.50672319509,1632,98,0,598,103,0,824
53033029408,2826.47819683008,0,951.46659589655,0,1617,0,0,76,87,26,203
53033029502,3438.6755897275852,270.077021802874,0,4523.236530844789,2138,35,0,521,290,48,921
53033029503,9677.509794377042,9140.45600801511,0,19101.597997813773,2921,959,0,1118,361,102,2540
53033029504,4246.9116458504095,0,0,70.9428696383873,2088,162,0,790,114,64,1143
53033029601,3805.666119188725,0,0,3805.666119188725,2059,0,0,451,298,127,1045
53033029602,1358.40000003696,0,0,0,1979,0,0,126,276,68,480
53033029700,537.7620455440583,0,35813.33540917696,5673.626768978032,2805,265,423,1747,1067,2093,5596
53033029802,43.29725394648892,0,0,0,3077,24,0,244,314,371,991
53033030003,0,0,1548.105244487426,1119.6414345014891,2416,195,15,609,84,144,1048
53033030004,93.5039728166356,0,0,0,3255,13,0,191,81,36,328
