houseid,personid,trpmiles,trippurp
30430515,02,1.097,NHB
40364364,01,2.217,HBW
30281192,02,6.523,NHB
30461357,01,4.069,NHB
30345604,02,1.541,HBW
30214545,01,3.667,HBW
30491014,02,2.963,HBO
40341873,03,1.073,HBO
30504604,01,0.461,NHB
30082865,01,10.951,NHB
30528248,01,28.147,HBSOCREC
30062770,03,5.089,NHB
30474746,02,3.665,HBW
30279841,01,0.302,HBSHOP
40597384,01,6.011,HBO
40789147,02,243.659,HBSHOP
30156194,01,3.05,HBW
40471763,01,6.523,HBSHOP
30394686,01,5.506,HBO
30367497,01,26.368,HBW
40190188,01,16.437,HBO
30166766,01,3.466,NHB
30432468,01,12.109,NHB
30552826,02,66.769,NHB
30347629,01,1.661,NHB
30263641,01,2.495,NHB
30338462,01,86.33,NHB
30469407,03,2.515,HBO
40214405,02,5.892,NHB
30153844,01,14.993,HBW
40570670,01,7.76,NHB
40665670,01,10.262,HBSHOP
30454093,01,0.07,HBSOCREC
40782422,02,8.309,NHB
40094458,04,2.545,HBO
30393475,01,4.524,HBO
40150563,01,3.542,HBSOCREC
40406419,01,4.52,HBSHOP
40475667,01,0.575,HBW
40068160,01,1.064,HBSOCREC
40643751,01,7.729,HBW
30001535,03,2.051,NHB
40174598,03,0.182,HBSHOP
30467339,02,8.129,HBSHOP
40724625,01,4,HBO
30459877,02,9.477,HBO
30532944,01,0.344,HBO
40293526,03,2.952,NHB
30312550,01,5.46,HBSHOP
40752727,01,1.089,NHB
30268942,01,4.598,HBSHOP
30396304,04,9.238,HBSOCREC
30496974,02,0.977,HBO
30494526,01,1.737,HBSHOP
40146694,01,1.044,HBSHOP
40667256,01,7.147,NHB
30319692,01,1.695,NHB
30052877,01,3.642,NHB
30401860,02,3.756,HBW
30467572,01,1.507,HBSHOP
40195278,01,0.144,HBO
40440593,01,17.501,HBSHOP
40065189,01,1.121,HBSHOP
40085437,02,8.744,NHB
30109197,02,0.094,HBSOCREC
40108069,04,0.204,HBSHOP
40234030,01,9.758,HBSHOP
30051936,02,44.247,NHB
30475048,02,7.051,HBSHOP
40614996,01,0.992,HBW
30173422,02,0.755,HBW
40231275,04,11.88,HBO
40242882,02,9.947,NHB
30370675,03,4.26,NHB
30458603,02,7.483,NHB
40113178,01,15.885,HBO
30345981,01,3.405,HBSOCREC
30384868,01,2.187,HBW
30366150,01,11.077,NHB
40092589,02,3,HBO
30300001,01,3.732,NHB
